City_ID,city_name,Lat,Lon,wind,temp_max,humidity,country,date,cloud
483,Marsh Harbour,26.54,-77.06,20.78,71.01,76,BS,1581231993,87
484,Tierra Nueva,21.68,-100.57,2.66,50.83,89,MX,1581231993,0
485,Sidi Ali,36.1,0.42,3.11,48.88,86,DZ,1581231993,68
486,Pinotepa Nacional,16.32,-98.02,1.12,69.22,91,MX,1581231993,13
487,Buta,2.79,24.73,0.27,73.45,44,CD,1581231993,87
488,Nakamura,32.98,132.93,6.78,48.78,40,JP,1581231994,0
489,Leninogorsk,54.6,52.46,3.96,-8.07,96,RU,1581231994,0
490,Wamba,8.93,8.6,1.25,68.25,28,NG,1581231994,0
491,Magadan,59.57,150.8,10.85,3.13,58,RU,1581231994,100
492,Geraldton,-28.77,114.6,28.86,78.8,47,AU,1581231994,0
493,Nouadhibou,20.93,-17.03,23.04,62.6,77,MR,1581231994,0
494,Romodanovo,54.43,45.33,7.31,-2.83,93,RU,1581231994,0
495,Puerto Asis,0.51,-76.5,0.31,74.57,78,CO,1581231995,39
496,Pontianak,-0.03,109.33,6.29,85.05,79,ID,1581231964,79
497,Arrondissement de Vannes,47.83,-2.5,23.04,53.01,81,FR,1581231995,90
498,Hofn,64.25,-15.21,3.85,36.81,62,IS,1581231995,24
499,Bima,-8.47,118.72,3.18,80.47,84,ID,1581231995,100
500,Fairbanks,64.84,-147.72,2.1,24.01,92,US,1581231936,90
501,Katherine,-14.47,132.27,8.05,96.8,44,AU,1581231995,100
502,Leshukonskoye,64.9,45.76,8.5,19.08,94,RU,1581231995,100
503,Faya,18.39,42.45,6.93,64.4,67,SA,1581231996,53
504,Muborak,39.26,65.15,29.12,60.58,30,UZ,1581231996,83
505,Rossland,49.08,-117.8,1.01,33.01,86,CA,1581231996,64
506,Pisco,-13.7,-76.22,8.05,70.0,83,PE,1581231996,40
507,Dossor,47.53,52.98,17.13,23.61,50,KZ,1581231996,88
508,Porto-Novo,6.5,2.6,4.7,77.0,83,BJ,1581231996,40
509,Gisborne,-38.65,178.0,4.0,64.99,56,NZ,1581231779,60
510,Boshnyakovo,49.63,142.17,29.75,2.89,94,RU,1581231997,100
511,Bukachacha,52.98,116.92,3.58,12.25,83,RU,1581231997,63
512,Raja,8.46,25.68,9.33,69.48,23,SS,1581231997,0
513,Namatanai,-3.67,152.43,15.1,84.11,77,PG,1581231997,100
514,Mitsamiouli,-11.38,43.28,5.82,87.8,66,KM,1581231997,20
515,Villazon,-22.09,-65.59,6.6,48.87,84,BO,1581231997,47
516,Baruun-Urt,46.68,113.28,10.67,18.91,78,MN,1581231998,0
517,Nicoya,10.15,-85.45,4.5,80.6,61,CR,1581231998,12
518,Vila Franca do Campo,37.72,-25.43,12.75,62.6,88,PT,1581231998,40
519,Tessalit,20.2,1.01,13.94,60.44,11,ML,1581231998,84
520,Yei,4.09,30.68,4.36,75.94,45,SS,1581231998,100
521,Pacifica,37.61,-122.49,11.41,52.0,81,US,1581231998,1
522,Tarabuco,-19.17,-64.92,3.24,53.22,94,BO,1581231998,100
523,Bathsheba,13.22,-59.52,24.16,78.8,74,BB,1581231999,20
524,Arona,28.1,-16.68,24.16,64.4,72,ES,1581231999,20
525,Mongu,-15.25,23.13,2.86,69.35,93,ZM,1581231999,100
526,Ullapool,57.9,-5.16,5.99,37.0,86,GB,1581231999,100
527,Hoquiam,46.98,-123.89,1.01,39.0,1,US,1581231999,5
528,Nemuro,43.32,145.57,9.17,12.2,56,JP,1581231999,40
529,Orhei,47.38,28.82,4.7,33.01,68,MD,1581231999,44
530,Mizdah,31.45,12.98,2.71,41.4,56,LY,1581232000,47
531,Pitimbu,-7.47,-34.81,3.36,78.8,88,BR,1581232000,75
532,Presidente Medici,-11.18,-61.9,2.51,70.92,98,BR,1581232000,100
533,Syedove,47.08,38.16,15.3,19.58,77,UA,1581232000,49
534,Mananjary,-21.22,48.33,1.36,79.5,75,MG,1581232000,11
535,Fatsa,41.03,37.5,16.11,32.0,80,TR,1581232000,75
536,El Batey,19.77,-70.52,20.83,75.0,94,DO,1581232000,20
537,Krasnosel'kup,65.7,82.47,5.57,-12.55,96,RU,1581232000,77
538,El Doncello,1.68,-75.28,2.59,74.08,72,CO,1581232001,61
539,Boa Vista,2.82,-60.67,13.87,78.8,57,BR,1581232001,24
540,Nurota,40.56,65.69,13.87,59.0,33,UZ,1581232001,75
541,Saldanha,-33.01,17.94,8.05,66.2,88,ZA,1581232001,14
542,Samarai,-10.62,150.67,10.78,85.8,64,PG,1581232001,100
543,Mana,5.66,-53.78,2.13,69.58,97,GF,1581232001,56
544,Ilebo,-4.32,20.58,5.39,68.9,99,CD,1581232001,100
545,Pingliang,35.54,106.69,4.65,42.4,18,CN,1581232001,0
546,Helena,46.59,-112.04,8.05,23.0,73,US,1581232002,75
547,Lagoa,39.05,-27.98,21.39,62.13,86,PT,1581232002,100
548,Sarishabari,24.73,89.83,12.66,79.5,25,BD,1581232002,24
549,Nova Odesa,47.31,31.79,1.57,22.68,80,UA,1581232002,8
550,Manaus,-3.1,-60.02,2.24,78.8,78,BR,1581231884,91
551,Burnie,-41.07,145.92,5.99,64.0,74,AU,1581232002,83
